Class,nSSE,N
0,6.75,5.0
1,9.51,5.0
2,9.27,5.0
3,4.72,5.0
4,6.41,5.0
5,8.5,5.0
6,6.25,5.0
7,5.7,5.0
8,7.69,5.0
9,13.1,5.0
10,9.16,5.0
11,5.22,5.0
12,7.26,5.0
13,6.08,5.0
14,4.99,5.0
15,5.76,5.0
16,7.57,5.0
17,6.15,5.0
18,6.69,5.0
19,4.64,5.0
20,12.43,5.0
21,4.92,5.0
22,3.93,5.0
23,10.95,5.0
24,4.52,5.0
25,11.07,5.0
26,6.1,5.0
27,7.01,5.0
28,7.99,5.0
29,4.6,5.0
30,9.65,5.0
31,6.85,5.0
32,6.73,5.0
33,8.76,5.0
34,12.97,5.0
35,6.96,5.0
36,4.39,5.0
37,9.6,5.0
38,6.97,5.0
39,9.91,5.0
40,6.3,5.0
41,7.25,5.0
42,8.03,5.0
43,8.54,5.0
44,9.62,5.0
45,11.84,5.0
46,3.86,5.0
47,12.39,5.0
48,7.38,5.0
49,10.74,5.0
50,7.88,5.0
51,12.16,5.0
52,5.44,5.0
53,5.23,5.0
54,11.97,5.0
55,11.06,5.0
56,7.88,5.0
57,12.48,5.0
58,3.47,5.0
59,3.08,5.0
60,10.0,5.0
61,9.39,5.0
62,5.28,5.0
63,8.92,5.0
64,6.33,5.0
65,11.63,5.0
66,8.11,5.0
67,7.03,5.0
68,10.64,5.0
69,7.63,5.0
70,6.16,5.0
71,7.81,5.0
72,10.93,5.0
73,10.73,5.0
74,8.44,5.0
75,5.03,5.0
76,9.62,5.0
77,6.89,5.0
78,5.2,5.0
79,5.0,5.0
80,5.6,5.0
81,8.83,5.0
82,8.78,5.0
83,5.77,5.0
84,8.21,5.0
85,1.96,5.0
86,8.85,5.0
87,10.26,5.0
88,8.53,5.0
89,10.54,5.0
90,8.55,5.0
91,10.61,5.0
92,8.31,5.0
93,5.51,5.0
94,10.95,5.0
95,6.4,5.0
96,8.81,5.0
97,7.69,5.0
98,7.93,5.0
99,4.05,5.0
100,11.14,5.0
101,7.49,5.0
102,9.23,5.0
103,8.89,5.0
104,6.56,5.0
105,4.24,5.0
106,8.74,5.0
107,7.43,5.0
108,5.87,5.0
109,7.82,5.0
110,5.53,5.0
111,6.77,5.0
112,4.98,5.0
113,13.99,5.0
114,14.81,5.0
115,7.93,5.0
116,8.61,5.0
117,6.4,5.0
118,8.36,5.0
119,5.29,5.0
120,9.41,5.0
121,10.87,5.0
122,4.8,5.0
123,5.4,5.0
124,9.54,5.0
125,6.28,5.0
126,5.01,5.0
127,17.83,5.0
128,6.67,5.0
129,7.05,5.0
130,5.02,5.0
131,11.78,5.0
132,8.57,5.0
133,10.23,5.0
134,4.39,5.0
135,10.9,5.0
136,5.06,5.0
137,5.94,5.0
138,5.4,5.0
139,9.34,5.0
140,3.38,5.0
141,6.12,5.0
142,6.51,5.0
143,11.09,5.0
144,3.26,5.0
145,13.33,5.0
146,6.9,5.0
147,10.9,5.0
148,7.65,5.0
149,6.03,5.0
150,6.09,5.0
151,4.77,5.0
152,6.2,5.0
153,5.65,5.0
154,7.49,5.0
155,9.04,5.0
156,5.19,5.0
157,12.69,5.0
158,6.55,5.0
159,5.17,5.0
160,6.49,5.0
161,7.66,5.0
162,11.44,5.0
163,10.55,5.0
164,5.74,5.0
165,3.89,5.0
166,3.67,5.0
167,7.41,5.0
168,6.16,5.0
169,8.13,5.0
170,6.51,5.0
171,3.97,5.0
172,12.23,5.0
173,5.88,5.0
174,4.19,5.0
175,6.05,5.0
176,7.12,5.0
177,9.43,5.0
178,4.23,5.0
179,7.43,5.0
180,12.97,5.0
181,9.34,5.0
182,10.23,5.0
183,5.89,5.0
184,7.97,5.0
185,9.23,5.0
186,7.68,5.0
187,7.26,5.0
188,10.52,5.0
189,6.11,5.0
190,9.52,5.0
191,4.72,5.0
192,4.45,5.0
193,10.49,5.0
194,9.38,5.0
195,10.06,5.0
196,9.78,5.0
197,8.17,5.0
198,10.75,5.0
199,9.31,5.0
200,14.75,5.0
201,11.2,5.0
202,12.14,5.0
203,11.64,5.0
204,8.51,5.0
205,7.17,5.0
206,11.05,5.0
207,9.05,5.0
208,8.94,5.0
209,10.94,5.0
210,11.94,5.0
211,9.27,5.0
212,15.58,5.0
213,10.0,5.0
214,7.93,5.0
215,6.02,5.0
216,9.67,5.0
217,8.35,5.0
218,6.5,5.0
219,8.02,5.0
220,11.34,5.0
221,13.11,5.0
222,10.86,5.0
223,10.67,5.0
224,7.75,5.0
225,10.66,5.0
226,12.26,5.0
227,8.39,5.0
228,14.73,5.0
229,12.8,5.0
230,10.14,5.0
231,7.62,5.0
232,14.17,5.0
233,11.28,5.0
234,12.46,5.0
235,6.55,5.0
236,13.04,5.0
237,10.41,5.0
238,5.82,5.0
239,7.97,5.0
240,5.77,5.0
241,7.57,5.0
242,9.17,5.0
243,10.59,5.0
244,11.02,5.0
245,7.91,5.0
246,10.37,5.0
247,17.45,5.0
248,13.43,5.0
249,11.79,5.0
250,11.21,5.0
251,14.5,5.0
252,8.66,5.0
253,11.09,5.0
254,12.53,5.0
255,10.32,5.0
256,11.06,5.0
257,13.75,5.0
258,9.8,5.0
259,10.67,5.0
260,14.08,5.0
261,14.92,5.0
262,14.08,5.0
263,9.61,5.0
264,8.48,5.0
265,9.28,5.0
266,14.98,5.0
267,8.95,5.0
268,10.26,5.0
269,9.62,5.0
270,11.44,5.0
271,13.86,5.0
272,14.46,5.0
273,8.57,5.0
274,5.42,5.0
275,13.69,5.0
276,11.96,5.0
277,8.94,5.0
278,13.59,5.0
279,10.19,5.0
280,10.32,5.0
281,9.58,5.0
282,11.66,5.0
283,15.94,5.0
284,10.25,5.0
285,13.58,5.0
286,10.96,5.0
287,8.73,5.0
288,10.66,5.0
289,9.19,5.0
290,11.24,5.0
291,8.11,5.0
292,10.36,5.0
293,11.93,5.0
294,12.0,5.0
295,10.48,5.0
296,9.07,5.0
297,14.07,5.0
298,8.68,5.0
299,10.89,5.0
