Class,SSE,N
0,304.26,5
1,306.74,5
2,326.37,5
3,221.69,5
4,425.38,5
5,370.18,5
6,398.47,5
7,297.28,5
8,312.63,5
9,345.19,5
10,346.97,5
11,310.48,5
12,446.77,5
13,362.92,5
14,304.96,5
15,348.1,5
16,374.04,5
17,359.24,5
18,353.51,5
19,274.02,5
20,330.08,5
21,303.77,5
22,274.62,5
23,336.82,5
24,173.36,5
25,325.08,5
26,239.37,5
27,422.64,5
28,284.89,5
29,317.89,5
30,408.54,5
31,282.19,5
32,321.31,5
33,334.71,5
34,427.93,5
35,370.97,5
36,293.79,5
37,269.13,5
38,397.63,5
39,370.17,5
40,264.92,5
41,244.28,5
42,342.2,5
43,307.19,5
44,398.31,5
45,361.58,5
46,420.28,5
47,512.51,5
48,297.01,5
49,472.38,5
50,301.55,5
51,332.58,5
52,326.68,5
53,197.23,5
54,417.42,5
55,492.18,5
56,398.9,5
57,386.63,5
58,357.41,5
59,217.16,5
60,302.26,5
61,386.29,5
62,360.21,5
63,346.17,5
64,380.5,5
65,320.4,5
66,299.33,5
67,313.46,5
68,374.85,5
69,346.08,5
70,430.93,5
71,403.19,5
72,324.69,5
73,482.81,5
74,293.29,5
75,282.9,5
76,373.51,5
77,419.33,5
78,297.01,5
79,234.18,5
80,328.64,5
81,461.48,5
82,341.59,5
83,374.79,5
84,420.28,5
85,161.46,5
86,372.86,5
87,373.94,5
88,251.95,5
89,312.91,5
90,307.92,5
91,316.34,5
92,364.5,5
93,237.36,5
94,336.48,5
95,369.06,5
96,317.1,5
97,218.2,5
98,396.24,5
99,239.42,5
100,345.14,5
101,235.46,5
102,337.7,5
103,314.84,5
104,421.43,5
105,211.15,5
106,410.98,5
107,351.58,5
108,308.42,5
109,240.06,5
110,297.6,5
111,359.51,5
112,247.56,5
113,420.02,5
114,428.88,5
115,408.28,5
116,356.16,5
117,219.66,5
118,287.88,5
119,360.52,5
120,454.26,5
121,464.68,5
122,333.14,5
123,351.29,5
124,373.32,5
125,378.6,5
126,389.69,5
127,479.65,5
128,306.14,5
129,292.47,5
130,285.11,5
131,369.56,5
132,415.5,5
133,404.91,5
134,238.26,5
135,361.6,5
136,288.54,5
137,308.63,5
138,219.51,5
139,290.48,5
140,236.67,5
141,249.89,5
142,381.99,5
143,367.88,5
144,253.65,5
145,350.89,5
146,313.25,5
147,345.63,5
148,337.94,5
149,310.19,5
150,258.96,5
151,422.61,5
152,347.11,5
153,255.76,5
154,398.9,5
155,311.08,5
156,222.43,5
157,405.73,5
158,351.66,5
159,226.64,5
160,257.46,5
161,400.63,5
162,375.89,5
163,309.62,5
164,356.09,5
165,261.21,5
166,245.39,5
167,465.67,5
168,343.1,5
169,375.69,5
170,247.6,5
171,192.38,5
172,376.79,5
173,223.85,5
174,222.17,5
175,377.95,5
176,257.25,5
177,373.05,5
178,283.38,5
179,351.19,5
180,421.57,5
181,386.58,5
182,346.88,5
183,334.01,5
184,283.59,5
185,343.27,5
186,290.48,5
187,298.16,5
188,372.9,5
189,281.54,5
190,460.54,5
191,350.18,5
192,247.86,5
193,468.94,5
194,310.25,5
195,360.63,5
196,349.33,5
197,334.02,5
198,311.82,5
199,290.46,5
200,413.95,5
201,483.83,5
202,334.01,5
203,321.98,5
204,286.21,5
205,286.7,5
206,401.58,5
207,402.2,5
208,324.72,5
209,322.68,5
210,383.35,5
211,373.18,5
212,511.49,5
213,371.49,5
214,343.05,5
215,410.34,5
216,332.68,5
217,333.27,5
218,429.74,5
219,352.45,5
220,415.39,5
221,414.79,5
222,371.14,5
223,318.59,5
224,300.15,5
225,392.85,5
226,419.32,5
227,473.44,5
228,363.67,5
229,405.31,5
230,384.29,5
231,328.87,5
232,397.84,5
233,431.61,5
234,388.44,5
235,278.03,5
236,452.63,5
237,399.08,5
238,252.6,5
239,334.9,5
240,312.54,5
241,350.57,5
242,346.0,5
243,394.0,5
244,397.99,5
245,351.63,5
246,421.65,5
247,458.77,5
248,537.66,5
249,466.48,5
250,324.28,5
251,369.13,5
252,476.29,5
253,327.56,5
254,398.02,5
255,394.27,5
256,396.98,5
257,344.07,5
258,396.94,5
259,547.75,5
260,436.28,5
261,462.33,5
262,362.7,5
263,349.55,5
264,359.97,5
265,370.42,5
266,484.36,5
267,307.48,5
268,276.03,5
269,300.69,5
270,374.99,5
271,394.04,5
272,497.77,5
273,354.49,5
274,378.0,5
275,409.38,5
276,449.79,5
277,333.29,5
278,432.8,5
279,433.71,5
280,383.03,5
281,362.89,5
282,353.62,5
283,523.53,5
284,352.01,5
285,481.56,5
286,370.18,5
287,447.41,5
288,357.98,5
289,316.75,5
290,345.82,5
291,343.95,5
292,409.34,5
293,393.7,5
294,332.33,5
295,391.89,5
296,309.57,5
297,351.74,5
298,386.99,5
299,396.32,5
